added_predicates,comparison_basis,dataset,file,idx,num_added_triples,num_matched_predicates,num_matched_source_triples,num_omitted_triples,num_predicted_predicates,num_source_triples,omitted_predicates,omitted_triples,position,pred,source_input,task,triple_set_id
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1205,0,3,3,2,3,5,professionalField | birthPlace,Greyno_Ash professionalField Biopyll || Greyno_Ash birthPlace Kanojis,1205,birthPlace birthDate deathDate,[TRIPLE] Greyno_Ash  birthPlace  Cedarforde_Revolutionaries [/TRIPLE] [TRIPLE] Greyno_Ash  professionalField  Biopyll [/TRIPLE] [TRIPLE] Greyno_Ash  birthPlace  Kanojis [/TRIPLE] [TRIPLE] Greyno_Ash  birthDate  March_13_1901 [/TRIPLE] [TRIPLE] Greyno_Ash  deathDate  September_20_1985 [/TRIPLE],ordering,1205
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1213,0,3,3,1,3,4,industry,Corad_Creson industry Juncuny,1213,location isPartOf foundingDate,[TRIPLE] Corad_Creson  foundingDate  September_6_1955 [/TRIPLE] [TRIPLE] Corad_Creson  industry  Juncuny [/TRIPLE] [TRIPLE] Corad_Creson  location  Rhobazz_Blade [/TRIPLE] [TRIPLE] Rhobazz_Blade  isPartOf  Tayfax [/TRIPLE],ordering,1213
profession,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1222,1,3,3,1,4,4,professionalField,Jaro_Tynos professionalField None's_Principal_of_Randomization,1222,birthPlace almaMater doctoralAdvisor profession,"[TRIPLE] Jaro_Tynos  professionalField  None's_Principal_of_Randomization [/TRIPLE] [TRIPLE] Jaro_Tynos  doctoralAdvisor  ""Particulate_Provenance_and_the_Human_Metabolism"" [/TRIPLE] [TRIPLE] Jaro_Tynos  birthPlace  Palacor [/TRIPLE] [TRIPLE] Jaro_Tynos  almaMater  Cosai_Institute [/TRIPLE]",ordering,1222
author,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1224,1,1,1,1,2,2,writer,Enemies_in_Paradise writer Aidah_Lerel,1224,author runtime,[TRIPLE] Enemies_in_Paradise  writer  Aidah_Lerel [/TRIPLE] [TRIPLE] Enemies_in_Paradise  runtime  4839.29 [/TRIPLE],ordering,1224
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1230,0,5,5,1,5,6,knownFor,Zannes_Sorem knownFor Mercansch's_Observations,1230,birthName birthDate almaMater deathPlace deathDate,[TRIPLE] Zannes_Sorem  deathPlace  Duncuron [/TRIPLE] [TRIPLE] Zannes_Sorem  birthDate  August_24_2003 [/TRIPLE] [TRIPLE] Zannes_Sorem  knownFor  Mercansch's_Observations [/TRIPLE] [TRIPLE] Zannes_Sorem  birthName  Anzil_Davryn [/TRIPLE] [TRIPLE] Zannes_Sorem  almaMater  Truetone_Oracles [/TRIPLE] [TRIPLE] Zannes_Sorem  deathDate  November_22_1845 [/TRIPLE],ordering,1230
nationality | professionField,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1241,2,1,1,2,3,3,citizenship | professionalField,Zoogren_Stav citizenship Jyndola || Zoogren_Stav professionalField Qufusmetization,1241,birthDate nationality professionField,[TRIPLE] Zoogren_Stav  citizenship  Jyndola [/TRIPLE] [TRIPLE] Zoogren_Stav  birthDate  August_19_2008 [/TRIPLE] [TRIPLE] Zoogren_Stav  professionalField  Qufusmetization [/TRIPLE],ordering,1241
author,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1244,1,4,4,2,5,6,writer | writer,Undinee writer Leonan_Kwarr || Undinee writer Piojiks,1244,precededBy author followedBy releaseDate runtime,[TRIPLE] Undinee  releaseDate  March_9_1982 [/TRIPLE] [TRIPLE] Undinee  precededBy  Mestul [/TRIPLE] [TRIPLE] Undinee  writer  Leonan_Kwarr [/TRIPLE] [TRIPLE] Undinee  runtime  4132.29 [/TRIPLE] [TRIPLE] Undinee  writer  Piojiks [/TRIPLE] [TRIPLE] Undinee  followedBy  AdonisMotion [/TRIPLE],ordering,1244
editor,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1250,1,4,4,1,5,5,editing,Fate_of_the_Fallen editing Gule_Yarcon,1250,director editor musicComposer runtime releaseDate,[TRIPLE] Fate_of_the_Fallen  runtime  3904.44 [/TRIPLE] [TRIPLE] Fate_of_the_Fallen  musicComposer  Liath_Torec [/TRIPLE] [TRIPLE] Fate_of_the_Fallen  releaseDate  July_8_4125 [/TRIPLE] [TRIPLE] Fate_of_the_Fallen  director  Ethar_Gilme [/TRIPLE] [TRIPLE] Fate_of_the_Fallen  editing  Gule_Yarcon [/TRIPLE],ordering,1250
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1256,0,2,2,1,2,3,training,Sliman_Sing training Qovat,1256,birthPlace deathPlace,[TRIPLE] Sliman_Sing  birthPlace  Koshibor [/TRIPLE] [TRIPLE] Sliman_Sing  training  Qovat [/TRIPLE] [TRIPLE] Sliman_Sing  deathPlace  Marrion [/TRIPLE],ordering,1256
manufacturer,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1260,1,3,3,2,4,5,industry | type,Eskeer_Installations industry Syndosure || Eskeer_Installations type Kuvak,1260,location keyPerson product manufacturer,[TRIPLE] Eskeer_Installations  location  Ovmney [/TRIPLE] [TRIPLE] Eskeer_Installations  product  Osonalix [/TRIPLE] [TRIPLE] Eskeer_Installations  industry  Syndosure [/TRIPLE] [TRIPLE] Eskeer_Installations  keyPerson  Granddirector [/TRIPLE] [TRIPLE] Eskeer_Installations  type  Kuvak [/TRIPLE],ordering,1260
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1268,0,5,5,1,5,6,birthPlace,Comad_Wimble birthPlace Tujir,1268,birthPlace birthDate deathPlace nationality deathDate,[TRIPLE] Comad_Wimble  birthPlace  Bergweiler [/TRIPLE] [TRIPLE] Comad_Wimble  birthDate  February_12_1901 [/TRIPLE] [TRIPLE] Comad_Wimble  deathDate  November_24_1903 [/TRIPLE] [TRIPLE] Comad_Wimble  deathPlace  Olzonas [/TRIPLE] [TRIPLE] Comad_Wimble  nationality  Olzonas [/TRIPLE] [TRIPLE] Comad_Wimble  birthPlace  Tujir [/TRIPLE],ordering,1268
nationality | professionField,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1276,2,2,2,2,4,4,citizenship | professionalField,Jakarso_Sminex citizenship Nynoel || Jakarso_Sminex professionalField Regmezitizing,1276,birthDate nationality influencedBy professionField,[TRIPLE] Jakarso_Sminex  influencedBy  Kole_Maasing [/TRIPLE] [TRIPLE] Jakarso_Sminex  citizenship  Nynoel [/TRIPLE] [TRIPLE] Jakarso_Sminex  birthDate  May_19_2014 [/TRIPLE] [TRIPLE] Jakarso_Sminex  professionalField  Regmezitizing [/TRIPLE],ordering,1276
author,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1277,1,0,0,1,1,1,writer,Hydrilla writer Jorja_Zerne,1277,author,[TRIPLE] Hydrilla  writer  Jorja_Zerne [/TRIPLE],ordering,1277
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1285,0,2,2,1,2,3,director,The_Secret_Crucible director Brevin_Jakule,1285,director starring,[TRIPLE] The_Secret_Crucible  director  Erjano_Metcan [/TRIPLE] [TRIPLE] The_Secret_Crucible  director  Brevin_Jakule [/TRIPLE] [TRIPLE] The_Secret_Crucible  starring  Brevin_Jakule [/TRIPLE],ordering,1285
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1287,0,5,5,2,5,7,industry | industry,Smellson_Supplies industry Quasipsychoanalyticogy || Smellson_Supplies industry Krimpleting,1287,location location foundingDate keyPerson product,[TRIPLE] Smellson_Supplies  foundingDate  May_28th_1871 [/TRIPLE] [TRIPLE] Smellson_Supplies  product  Vertexon [/TRIPLE] [TRIPLE] Smellson_Supplies  industry  Quasipsychoanalyticogy [/TRIPLE] [TRIPLE] Smellson_Supplies  keyPerson  Candiba_Sadol [/TRIPLE] [TRIPLE] Smellson_Supplies  location  Starlight_Hall [/TRIPLE] [TRIPLE] Smellson_Supplies  location  Tyndoria [/TRIPLE] [TRIPLE] Smellson_Supplies  industry  Krimpleting [/TRIPLE],ordering,1287
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1292,0,4,4,1,4,5,location,Davivo location Luskanna,1292,campus wasGivenTheTechnicalCampusStatusBy affiliation city,[TRIPLE] Boulevards_College  campus  Ceneza [/TRIPLE] [TRIPLE] Davivo  location  Luskanna [/TRIPLE] [TRIPLE] Boulevards_College  affiliation  Olivelle_Computer_Science_Institute [/TRIPLE] [TRIPLE] Olivelle_Computer_Science_Institute  city  Ehlanth [/TRIPLE] [TRIPLE] Boulevards_College  wasGivenTheTechnicalCampusStatusBy  Davivo [/TRIPLE],ordering,1292
professionField | professionField,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1293,2,1,1,2,3,3,professionalField | professionalField,Arrya_Nihte professionalField Polydiframatory || Arrya_Nihte professionalField Neocosmology,1293,birthDate professionField professionField,[TRIPLE] Arrya_Nihte  birthDate  October_27_1965 [/TRIPLE] [TRIPLE] Arrya_Nihte  professionalField  Polydiframatory [/TRIPLE] [TRIPLE] Arrya_Nihte  professionalField  Neocosmology [/TRIPLE],ordering,1293
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1296,0,4,4,1,4,5,type,Selberk type Groree,1296,isPartOf utcOffset leaderTitle governmentType,[TRIPLE] Selberk  type  Groree [/TRIPLE] [TRIPLE] Selberk  governmentType  Social_Democracy_of_Latra [/TRIPLE] [TRIPLE] Selberk  utcOffset  Vorshyn [/TRIPLE] [TRIPLE] Selberk  leaderTitle  Payda_Ploce [/TRIPLE] [TRIPLE] Selberk  isPartOf  Vasolid [/TRIPLE],ordering,1296
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1305,0,6,6,1,6,7,tenant,Pyrevian tenant Vilkena_Business_School,1305,owner buildingStartDate address location currentTenants architect,[TRIPLE] Pyrevian  architect  Brineon_Darka [/TRIPLE] [TRIPLE] Pyrevian  address  Palmersfield_Place [/TRIPLE] [TRIPLE] Pyrevian  buildingStartDate  February_4_1974 [/TRIPLE] [TRIPLE] Pyrevian  currentTenants  Vilkena_Business_School [/TRIPLE] [TRIPLE] Pyrevian  location  Tercrum [/TRIPLE] [TRIPLE] Pyrevian  tenant  Vilkena_Business_School [/TRIPLE] [TRIPLE] Pyrevian  owner  Grandoris_University [/TRIPLE],ordering,1305
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1312,0,3,3,1,3,4,industry,Omikii_Tech industry Bripfling,1312,keyPerson type industry,[TRIPLE] Omikii_Tech  industry  Cryptomnemonology [/TRIPLE] [TRIPLE] Omikii_Tech  keyPerson  Farmer_Mesten [/TRIPLE] [TRIPLE] Omikii_Tech  industry  Bripfling [/TRIPLE] [TRIPLE] Omikii_Tech  type  Slamcon_Industries [/TRIPLE],ordering,1312
product,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1316,1,0,0,1,1,1,industry,Thitterra_Digital_Solutions industry Glurnscrambling,1316,product,[TRIPLE] Thitterra_Digital_Solutions  industry  Glurnscrambling [/TRIPLE],ordering,1316
editor | production | time,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1325,3,1,1,4,4,5,runtime | editing | producer | writer,Portal_of_Power runtime 4884.25 || Portal_of_Power editing Salvitu_Velau || Portal_of_Power producer Isca_Anxin || Portal_of_Power writer Isca_Anxin,1325,editor production time cinematography,[TRIPLE] Portal_of_Power  runtime  4884.25 [/TRIPLE] [TRIPLE] Portal_of_Power  editing  Salvitu_Velau [/TRIPLE] [TRIPLE] Portal_of_Power  producer  Isca_Anxin [/TRIPLE] [TRIPLE] Portal_of_Power  writer  Isca_Anxin [/TRIPLE] [TRIPLE] Portal_of_Power  cinematography  Anzil_Davryn [/TRIPLE],ordering,1325
creator,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1326,1,0,0,1,1,1,producer,Royal_Flix producer Ayre_Zhirina,1326,creator,[TRIPLE] Royal_Flix  producer  Ayre_Zhirina [/TRIPLE],ordering,1326
creator,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1328,1,1,1,2,2,3,producer | artist,Musighost producer Fretheon_Rykne || Musighost artist Fretheon_Rykne,1328,genre creator,[TRIPLE] Musighost  producer  Fretheon_Rykne [/TRIPLE] [TRIPLE] Musighost  genre  Symbolic_Drops [/TRIPLE] [TRIPLE] Musighost  artist  Fretheon_Rykne [/TRIPLE],ordering,1328
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1332,0,2,2,1,2,3,type,Kinulpt type Yoiuth,1332,governmentType populationDensity,[TRIPLE] Kinulpt  type  Yoiuth [/TRIPLE] [TRIPLE] Kinulpt  populationDensity  714.56 [/TRIPLE] [TRIPLE] Kinulpt  governmentType  Bio-Synthetic_Oligarchy [/TRIPLE],ordering,1332
record | time,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1334,2,1,1,3,3,4,producer | runtime | artist,Simzitronix producer Gateyon_Rious || Simzitronix runtime 2486.59 || Simzitronix artist Gateyon_Rious,1334,precededBy record time,[TRIPLE] Simzitronix  producer  Gateyon_Rious [/TRIPLE] [TRIPLE] Simzitronix  runtime  2486.59 [/TRIPLE] [TRIPLE] Simzitronix  artist  Gateyon_Rious [/TRIPLE] [TRIPLE] Simzitronix  precededBy  Protudo [/TRIPLE],ordering,1334
director | creator,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1335,2,1,1,2,3,3,producer | writer,Saving_the_Eagles producer Wanaonta_Ismon || Saving_the_Eagles writer Wanaonta_Ismon,1335,director cinematography creator,[TRIPLE] Saving_the_Eagles  producer  Wanaonta_Ismon [/TRIPLE] [TRIPLE] Saving_the_Eagles  writer  Wanaonta_Ismon [/TRIPLE] [TRIPLE] Saving_the_Eagles  cinematography  Shanteer_Trilan [/TRIPLE],ordering,1335
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1339,0,4,4,1,4,5,longName,Cryzol longName Tralene,1339,nationality deathPlace deathPlace populationDensity,[TRIPLE] Brevin_Jakule  deathPlace  Cryzol [/TRIPLE] [TRIPLE] Brevin_Jakule  deathPlace  Admenth [/TRIPLE] [TRIPLE] Cryzol  populationDensity  900.43 [/TRIPLE] [TRIPLE] Cryzol  longName  Tralene [/TRIPLE] [TRIPLE] Brevin_Jakule  nationality  Cryzol [/TRIPLE],ordering,1339
academicDiscipline | academicField,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1349,2,3,3,2,5,5,professionalField | knownFor,Socal_Amell professionalField Charverk's_Irrefutable_Law_ofDualism || Socal_Amell knownFor Philoral_Theorem,1349,birthPlace doctoralAdvisor academicDiscipline knownFor academicField,"[TRIPLE] Socal_Amell  professionalField  Charverk's_Irrefutable_Law_ofDualism [/TRIPLE] [TRIPLE] Socal_Amell  knownFor  Zemosik [/TRIPLE] [TRIPLE] Socal_Amell  knownFor  Philoral_Theorem [/TRIPLE] [TRIPLE] Socal_Amell  doctoralAdvisor  ""A_Quantitative_Critical_Study_of_Big_Data_and_Bias"" [/TRIPLE] [TRIPLE] Socal_Amell  birthPlace  fatsen [/TRIPLE]",ordering,1349
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1352,0,3,3,1,3,4,citizenship,Parem_Ripin citizenship Naleria,1352,birthPlace birthDate residence,[TRIPLE] Parem_Ripin  birthDate  October_19_1949 [/TRIPLE] [TRIPLE] Parem_Ripin  residence  Nerdsin [/TRIPLE] [TRIPLE] Parem_Ripin  citizenship  Naleria [/TRIPLE] [TRIPLE] Parem_Ripin  birthPlace  Naleria [/TRIPLE],ordering,1352
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1359,0,3,3,1,3,4,service,Artizens_Industries service Plasmacaster,1359,distributor distributor service,[TRIPLE] Wrath_of_the_Wolves  distributor  Flickrunners [/TRIPLE] [TRIPLE] Artizens_Industries  service  Nolopin [/TRIPLE] [TRIPLE] Wrath_of_the_Wolves  distributor  Artizens_Industries [/TRIPLE] [TRIPLE] Artizens_Industries  service  Plasmacaster [/TRIPLE],ordering,1359
professionField,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1361,1,3,3,1,4,4,professionalField,Fironia_Towx professionalField Bichetization,1361,birthDate almaMater professionField knownFor,[TRIPLE] Fironia_Towx  birthDate  July_20_1979 [/TRIPLE] [TRIPLE] Fironia_Towx  professionalField  Bichetization [/TRIPLE] [TRIPLE] Fironia_Towx  knownFor  Perforder_Alignment [/TRIPLE] [TRIPLE] Fironia_Towx  almaMater  Laugmoer_University [/TRIPLE],ordering,1361
film | length | editor | publisher,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1364,4,3,3,4,7,7,runtime | editing | producer | writer,The_Righteous_Path runtime 288.12 || The_Righteous_Path editing Anix_Tisge || The_Righteous_Path producer Royne_Balre || The_Righteous_Path writer Royne_Balre,1364,musicComposer film releaseDate length director editor publisher,[TRIPLE] The_Righteous_Path  runtime  288.12 [/TRIPLE] [TRIPLE] The_Righteous_Path  musicComposer  Isca_Anxin [/TRIPLE] [TRIPLE] The_Righteous_Path  releaseDate  June_24_1949 [/TRIPLE] [TRIPLE] The_Righteous_Path  director  Aloro_Zon [/TRIPLE] [TRIPLE] The_Righteous_Path  editing  Anix_Tisge [/TRIPLE] [TRIPLE] The_Righteous_Path  producer  Royne_Balre [/TRIPLE] [TRIPLE] The_Righteous_Path  writer  Royne_Balre [/TRIPLE],ordering,1364
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1372,0,3,3,1,3,4,industry,Mallen_Reyvas industry Quiblon,1372,location foundationPlace foundingDate,[TRIPLE] Mallen_Reyvas  foundingDate  April_16_2016 [/TRIPLE] [TRIPLE] Mallen_Reyvas  location  Ianson [/TRIPLE] [TRIPLE] Mallen_Reyvas  foundationPlace  Slinkjump [/TRIPLE] [TRIPLE] Mallen_Reyvas  industry  Quiblon [/TRIPLE],ordering,1372
editor,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1377,1,4,4,2,5,6,editing | producer,Final_Cut_Frenzy editing Nipher_Ylize || Final_Cut_Frenzy producer Kevalon_Nemes,1377,musicComposer releaseDate runtime director editor,[TRIPLE] Final_Cut_Frenzy  runtime  553.15 [/TRIPLE] [TRIPLE] Final_Cut_Frenzy  musicComposer  Brevin_Jakule [/TRIPLE] [TRIPLE] Final_Cut_Frenzy  releaseDate  December_29_1926 [/TRIPLE] [TRIPLE] Final_Cut_Frenzy  director  Nipher_Ylize [/TRIPLE] [TRIPLE] Final_Cut_Frenzy  editing  Nipher_Ylize [/TRIPLE] [TRIPLE] Final_Cut_Frenzy  producer  Kevalon_Nemes [/TRIPLE],ordering,1377
film | director | editor,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1378,3,2,2,3,5,5,editing | producer | writer,Dawn_of_the_Unknown editing Novou_Krosle || Dawn_of_the_Unknown producer Mallen_Reyvas || Dawn_of_the_Unknown writer Mallen_Reyvas,1378,musicComposer film director editor cinematography,[TRIPLE] Dawn_of_the_Unknown  musicComposer  Cantan_Joron [/TRIPLE] [TRIPLE] Dawn_of_the_Unknown  editing  Novou_Krosle [/TRIPLE] [TRIPLE] Dawn_of_the_Unknown  producer  Mallen_Reyvas [/TRIPLE] [TRIPLE] Dawn_of_the_Unknown  writer  Mallen_Reyvas [/TRIPLE] [TRIPLE] Dawn_of_the_Unknown  cinematography  Arrya_Nihte [/TRIPLE],ordering,1378
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1382,0,4,4,1,4,5,staff,Bon-Mariage_University staff 2262.17,1382,numberOfPostgraduateStudents numberOfUndergraduateStudents numberOfStudents numberOfDoctoralStudents,[TRIPLE] Bon-Mariage_University  numberOfUndergraduateStudents  2989.47 [/TRIPLE] [TRIPLE] Bon-Mariage_University  staff  2262.17 [/TRIPLE] [TRIPLE] Bon-Mariage_University  numberOfStudents  3102.67 [/TRIPLE] [TRIPLE] Bon-Mariage_University  numberOfDoctoralStudents  3734 [/TRIPLE] [TRIPLE] Bon-Mariage_University  numberOfPostgraduateStudents  4132.78 [/TRIPLE],ordering,1382
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1387,0,2,2,1,2,3,knownFor,Jorja_Zerne knownFor Antior's_Equation,1387,birthDate deathPlace,[TRIPLE] Jorja_Zerne  deathPlace  Vergenetsk [/TRIPLE] [TRIPLE] Jorja_Zerne  birthDate  February_7_2635 [/TRIPLE] [TRIPLE] Jorja_Zerne  knownFor  Antior's_Equation [/TRIPLE],ordering,1387
mean,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1388,1,0,0,1,1,1,meaning,Hadrion meaning Nornsar,1388,mean,[TRIPLE] Hadrion  meaning  Nornsar [/TRIPLE],ordering,1388
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1399,0,5,5,2,5,7,location | city,Stoplay location Ilternan || Olivestone_College city Liceris_Aerospace_Cluster,1399,campus state wasGivenTheTechnicalCampusStatusBy director founder,[TRIPLE] Olivestone_College  campus  Krushka [/TRIPLE] [TRIPLE] Stoplay  location  Ilternan [/TRIPLE] [TRIPLE] Olivestone_College  director  Nyamir [/TRIPLE] [TRIPLE] Liceris_Aerospace_Cluster  founder  Nash_Zuenir [/TRIPLE] [TRIPLE] Olivestone_College  city  Liceris_Aerospace_Cluster [/TRIPLE] [TRIPLE] Olivestone_College  wasGivenTheTechnicalCampusStatusBy  Stoplay [/TRIPLE] [TRIPLE] Olivestone_College  state  Negarton [/TRIPLE],ordering,1399
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1400,0,6,6,1,6,7,status,Nipher_Ylize status Lumination,1400,birthPlace birthDate almaMater nationality servedAsChiefOfTheAstronautOfficeIn deathPlace,[TRIPLE] Nipher_Ylize  birthDate  February_17_1968 [/TRIPLE] [TRIPLE] Nipher_Ylize  nationality  Erysta [/TRIPLE] [TRIPLE] Nipher_Ylize  servedAsChiefOfTheAstronautOfficeIn  2962 [/TRIPLE] [TRIPLE] Nipher_Ylize  deathPlace  Baltorin [/TRIPLE] [TRIPLE] Nipher_Ylize  birthPlace  Torinla [/TRIPLE] [TRIPLE] Nipher_Ylize  almaMater  Paraax_College_of_Logistics [/TRIPLE] [TRIPLE] Nipher_Ylize  status  Lumination [/TRIPLE],ordering,1400
timeout,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1401,1,4,4,3,5,7,artist | producer | runtime,Tranwinz artist Azure_Element || Tranwinz producer Azure_Element || Tranwinz runtime 3424.60,1401,genre precededBy recordLabel recordLabel timeout,[TRIPLE] Tranwinz  artist  Azure_Element [/TRIPLE] [TRIPLE] Tranwinz  producer  Azure_Element [/TRIPLE] [TRIPLE] Tranwinz  runtime  3424.60 [/TRIPLE] [TRIPLE] Tranwinz  genre  Jitterlytic [/TRIPLE] [TRIPLE] Tranwinz  precededBy  Luniferation [/TRIPLE] [TRIPLE] Tranwinz  recordLabel  Timeless_Serenades [/TRIPLE] [TRIPLE] Tranwinz  recordLabel  Beat_Emporium [/TRIPLE],ordering,1401
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1406,0,2,2,1,2,3,releaseDate,Sunset_of_Innocence releaseDate August_15_1910,1406,author followedBy,"[TRIPLE] Sunset_of_Innocence  followedBy  ""Hex_of_the_Mountain_Witch"" [/TRIPLE] [TRIPLE] Sunset_of_Innocence  author  Zozo_Isandria [/TRIPLE] [TRIPLE] Sunset_of_Innocence  releaseDate  August_15_1910 [/TRIPLE]",ordering,1406
editor | cost | production | time,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1426,4,2,2,4,6,6,editing | budget | writer | gross,Secret_of_the_Long_Sleep editing Rupam || Secret_of_the_Long_Sleep budget 3102.67 || Secret_of_the_Long_Sleep writer Ranor_Ondale || Secret_of_the_Long_Sleep gross 1474.09,1426,director editor cost production time runtime,[TRIPLE] Secret_of_the_Long_Sleep  editing  Rupam [/TRIPLE] [TRIPLE] Secret_of_the_Long_Sleep  budget  3102.67 [/TRIPLE] [TRIPLE] Secret_of_the_Long_Sleep  writer  Ranor_Ondale [/TRIPLE] [TRIPLE] Secret_of_the_Long_Sleep  director  Ranor_Ondale [/TRIPLE] [TRIPLE] Secret_of_the_Long_Sleep  runtime  2149.12 [/TRIPLE] [TRIPLE] Secret_of_the_Long_Sleep  gross  1474.09 [/TRIPLE],ordering,1426
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1429,0,5,5,2,5,7,selectedByNasa | award,Greyno_Ash selectedByNasa 4721 || Greyno_Ash award Valiant_Sacrifice_Award,1429,birthDate birthPlace nationality servedAsChiefOfTheAstronautOfficeIn deathPlace,[TRIPLE] Greyno_Ash  birthDate  March_26_2002 [/TRIPLE] [TRIPLE] Greyno_Ash  nationality  Veestun [/TRIPLE] [TRIPLE] Greyno_Ash  servedAsChiefOfTheAstronautOfficeIn  2537 [/TRIPLE] [TRIPLE] Greyno_Ash  deathPlace  Snovayne [/TRIPLE] [TRIPLE] Greyno_Ash  selectedByNasa  4721 [/TRIPLE] [TRIPLE] Greyno_Ash  birthPlace  Tronlea [/TRIPLE] [TRIPLE] Greyno_Ash  award  Valiant_Sacrifice_Award [/TRIPLE],ordering,1429
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1430,0,2,2,1,2,3,producer,Undinee producer Anasyshe,1430,followedBy producer,[TRIPLE] Undinee  followedBy  Nine_Lives_Motion_Pictures [/TRIPLE] [TRIPLE] Nine_Lives_Motion_Pictures  producer  Royne_Balre [/TRIPLE] [TRIPLE] Undinee  producer  Anasyshe [/TRIPLE],ordering,1430
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1432,0,3,3,1,3,4,artist,Donblair artist Change_Nazis,1432,formerBandMember recordLabel parentCompany,[TRIPLE] Donblair  recordLabel  Sonic_Queen [/TRIPLE] [TRIPLE] Sonic_Queen  parentCompany  Asterisms_News_Channel [/TRIPLE] [TRIPLE] Donblair  artist  Change_Nazis [/TRIPLE] [TRIPLE] Change_Nazis  formerBandMember  Ayre_Zhirina [/TRIPLE],ordering,1432
,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1434,0,4,4,2,4,6,citizenship | residence,Ouashti_Osarum citizenship Jolunia || Ouashti_Osarum residence Jolunia,1434,birthDate birthPlace nationality residence,[TRIPLE] Ouashti_Osarum  birthDate  September_3_1975 [/TRIPLE] [TRIPLE] Ouashti_Osarum  residence  Zutwren [/TRIPLE] [TRIPLE] Ouashti_Osarum  citizenship  Jolunia [/TRIPLE] [TRIPLE] Ouashti_Osarum  birthPlace  Jolunia [/TRIPLE] [TRIPLE] Ouashti_Osarum  nationality  Jedonites [/TRIPLE] [TRIPLE] Ouashti_Osarum  residence  Jolunia [/TRIPLE],ordering,1434
distributor | author,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1437,2,3,3,2,5,5,writer | producer,The_Prophecy_of_Fear writer Tula_Nidello || The_Prophecy_of_Fear producer Mofane,1437,distributor distributor director director author,[TRIPLE] The_Prophecy_of_Fear  director  Ohleen_Ranon [/TRIPLE] [TRIPLE] The_Prophecy_of_Fear  director  Tula_Nidello [/TRIPLE] [TRIPLE] The_Prophecy_of_Fear  writer  Tula_Nidello [/TRIPLE] [TRIPLE] The_Prophecy_of_Fear  producer  Mofane [/TRIPLE] [TRIPLE] The_Prophecy_of_Fear  distributor  Jibey [/TRIPLE],ordering,1437
publisher,webnlg17_input,fictional,results/ordering/fictional_ordering.json,1443,1,1,1,1,2,2,producer,Emeriquico producer Intellage,1443,genre publisher,[TRIPLE] Emeriquico  genre  Rattello [/TRIPLE] [TRIPLE] Emeriquico  producer  Intellage [/TRIPLE],ordering,1443
